ad_id,asin
341529142708310.00,B09MR4D8
343576382494444.00,B0BNL7TJ
344153043414022.00,B0BNL5LC
344820529038667.00,B0B31SM3
345449647451501.00,B0BRCXQM
346701182218088.00,B09MR6BM
346906041436636.00,B0BRCXP7
348200242967596.00,B0BRCXST
348277198674232.00,B09KTMKD
348620964204225.00,B0BNL3J3
348653783557809.00,B0BNLS6Y
348793398882598.00,B0B31T1X
350068385494855.00,B0B31VFJ
351259059292434.00,B0BNL4Y2
351343439362039.00,B0B69DD2
351489413457087.00,B09KDYY3
351494644750808.00,B0BSLVXH
352629027892994.00,B09MR5Q6
353536461455901.00,B09X1GMW
353666949272509.00,B09MR3XT
353971959193628.00,B09KTFXX
354921968622429.00,B0BSLVXH
357422119373146.00,B0BNL424
358292836085128.00,B0BNL46Y
358405812861567.00,B0BNKXC5
358705919781687.00,B0BNL3ZH
360277552190146.00,B0BNL3NZ
363375543614020.00,B0BRCXQR
364932709443694.00,B0BNL12N
365153528761895.00,B0BNL23M
365674727680212.00,B0BRCYJ4
365932489429382.00,B0BRCYJ4
367978935938764.00,B0BNL1RD
370338050015500.00,B0B69SF1
370675732929084.00,B0BNL4L4
370712220764905.00,B0BRCXXB
370779826601368.00,B0BNL1J5
371022273133646.00,B09X1F8C
371972218349390.00,B0BNL3Y4
372139202021912.00,B09KDRMR
372639942664411.00,B09MR56Q
373337429590504.00,B0BNKZ88
373682443110196.00,B09KDW1Y
375290866642591.00,B0BSLVXH
375442655156596.00,B09MR2FY
376455205322321.00,B0BRCXP7
376667756328583.00,B0BNL3RD
378817614051079.00,B0B31V3P
379101500292487.00,B0BNL11Q
379665265825461.00,B0BNKZYZ
382320969218214.00,B0BG2T78
383052271269141.00,B0BNKZ88
383696895425276.00,B09MR3RS
384586266769517.00,B0BNL71D
384677627281218.00,B09KDQ2B
385132504867242.00,B09KDRMR
385717198313545.00,B0BT5234
388582657848659.00,B0BNKZBJ
389072855672561.00,B0BRCY8Q
389166563483150.00,B0BSLTZV
390074331053908.00,B09KDVXT
391406414520177.00,B09KDZQJ
391618736892403.00,B09KDPXY
392420181402427.00,B0BNKZYZ
394257106935416.00,B0BNL12N
395471592037641.00,B0BNL64P
395723594626872.00,B09KDTS4
396069781863059.00,B0BRCXXB
396246363347351.00,B09X1H62
398659773300488.00,B0BRCXJ1
401690676784228.00,B0B31VFJ
403233636639515.00,B09KDPXY
404303496705103.00,B0B69C4G
404358089540860.00,B09MR4Z3
406671767071933.00,B0BRCXCX
406887378857430.00,B0BRCYK4
406948837081926.00,B0BRCYJ4
408198734292697.00,B09KDQ2B
408234999763987.00,B0BRCXJR
408991318923487.00,B0BRCY8Q
409669958225278.00,B0BNKZCJ
412457469806635.00,B09MR3RS
413455788263092.00,B09KTMLQ
415031215529209.00,B0BRCW79
415899157489826.00,B0BRCXQM
416342464160830.00,B09MR4D8
418872971332347.00,B0BSLWJK
419801342606942.00,B0BNL5FV
421297895024912.00,B0B31VFJ
421532122008040.00,B0BNL4R8
422230196621970.00,B0B31Y1F
422767252911106.00,B0BRCXJR
423023584113788.00,B0B31T1X
423912656216274.00,B0BNKXC5
424461839802898.00,B09X1H62
425660940883405.00,B09X1DHR
427209184427312.00,B0BNKYPV
429809656238731.00,B09X1DHR
430868865577739.00,B0BRCYJ3
432425074346061.00,B09KDW1Y
433287098531674.00,B0B69GN5
433488419029115.00,B09MR4G7
433536359207424.00,B0BNL4NX
433871856515545.00,B0BG2Z8C
434657846887571.00,B0BNL4Y2
435868769507665.00,B09KTJRH
436275817312754.00,B09MR3RS
436890302067978.00,B0BG2QXQ
436996284175121.00,B0BNL2DX
437111648115214.00,B0BNL4CB
438353576433858.00,B09KDN7P
439108833593555.00,B0B31V3P
439303311655372.00,B0BRCXCX
